Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec)
Linear Regression,18.1719,1369.659,36.4248,0.8392,0.3395,0.2125,0.956
Bayesian Ridge,18.0668,1375.0219,36.4834,0.8391,0.3279,0.2094,0.082
Ridge Regression,18.0603,1377.1927,36.519,0.8388,0.3263,0.2087,0.484
Extra Trees Regressor,15.8063,1636.8078,38.4902,0.8229,0.2171,0.1557,1.112
Orthogonal Matching Pursuit,20.3617,1522.5247,38.4676,0.8209,0.3434,0.2353,0.024
Random Forest Regressor,16.2372,1635.0025,39.3877,0.8144,0.2144,0.1573,0.91
Gradient Boosting Regressor,19.0866,1911.2841,42.5282,0.7828,0.253,0.2142,0.276
Huber Regressor,21.9121,2259.9733,47.3416,0.73,0.3302,0.2236,0.362
Light Gradient Boosting Machine,19.4771,2437.0828,47.8922,0.7282,0.2408,0.1913,0.436
Lasso Regression,23.7162,2298.1444,47.7028,0.7265,0.3579,0.2614,0.618
Lasso Least Angle Regression,23.7162,2298.1581,47.703,0.7265,0.3579,0.2614,0.49
Decision Tree Regressor,19.2124,2352.1954,47.9774,0.7189,0.2555,0.1819,0.054
Elastic Net,24.6316,2400.7111,48.7963,0.7133,0.367,0.2707,0.032
K Neighbors Regressor,23.6191,2818.4134,52.5937,0.6691,0.2889,0.2312,0.092
AdaBoost Regressor,33.5304,3406.412,57.4285,0.6033,0.45,0.4824,0.2
Passive Aggressive Regressor,41.1363,5824.6435,74.6401,0.3313,0.522,0.3521,0.034
Dummy Regressor,54.0544,8471.4456,91.4629,-0.0006,0.6793,0.7563,0.016
Least Angle Regression,964.8471,80714978.3789,5301.1674,-8017.1,1.6512,12.9965,0.038
